"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"ALI - Fundo de Reunião","EAGryZAFJQc","Apresentação","Maple Bear | Comunicação",0,0,0
"Thumbnail_Confraternização","EAGryZ8jMOM",,"Maple Bear | Comunicação",0,0,0
"Atividades Summer Camp Montreal","EAGryZ5sa0s","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryZ5ASVE",,"Maple Bear | Comunicação",0,0,0
" Science - Lifecycle Of Turtle - A4","EAGryZ0Mtyc",,"Maple Bear | Comunicação",0,0,0
"Vídeos - 1080x1920","EAGryYxMRNE",,"Maple Bear | Comunicação",0,0,0
"BYLAWS SMAC 2025.pdf","EAGryYshqbk","A4","Maple Bear | Comunicação",0,0,0
"LIW 2025 - Modelo PPT","EAGryYsDmPM","Apresentação","Maple Bear | Comunicação",0,0,0
"TREINAMENTOS - Treinamentos Acadêmicos Maple Bear","EAGryYrj7s0",,"Maple Bear | Comunicação",0,0,0
"Molduras - Feed","EAGryYqxbu8","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 01","EAGryYqt758","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryYpjk-4",,"Maple Bear | Comunicação",0,0,0
"Encontro 25 de Março- Feed","EAGryYoKf7s","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryYnS1H8",,"Maple Bear | Comunicação",0,0,0
"Performance - Junho","EAGryYjQCyM","Post para Instagram","Maple Bear | Comunicação",0,0,0
"TFR - Mídia Off - 1152 x 576px","EAGryYgsVb4",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 02","EAGryYfI-UE","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Dezembro 24 - Feed","EAGryYelM20","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Trend WhatsApp - Summer Camp 2025 ","EAGryYeT_8Q","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Science - Sea Animals And The Ocean - A3","EAGryYdSCvo","Cartaz (A3 retrato)","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - Laribinto","EAGryYdNpjY",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080x1920px","EAGryYbtYdg","Story","Maple Bear | Comunicação",0,0,0
"Fichas de Observação ELE - A4","EAGryYaadjI","A4 (horizontal)","Maple Bear | Comunicação",0,0,0
"MAC - Apresentação","EAGryYZUKYI","Apresentação","Maple Bear | Comunicação",0,0,0
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryYWfxcM","Apresentação","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryYWAHTs","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Maple Bear Singapore and Brazil - Official Afterschool Programs","EAGryYVFx3E",,"Maple Bear | Comunicação",0,0,0
"Instagram - Stories Carrossel 01","EAGryYUKwAU","Story","Maple Bear | Comunicação",0,0,0
"Edu_ca_ção bilín_gue vai além do idi_oma.pdf","EAGryYTY_xg","Gráfico de mandala – 210 x 297 mm","Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 2","EAGryYJi2vA","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_03_Montreal","EAGryYInNbk","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGryYIOA1s","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080","EAGryYIJVko","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Instagram - Stories Carrossel 03","EAGryYHr74I","Story","Maple Bear | Comunicação",0,0,0
"Performance - Agosto","EAGryYH_YNg",,"Maple Bear | Comunicação",0,0,0
"Nota ","EAGryYGtNWQ","Documento (A4)","Maple Bear | Comunicação",0,2,0
"NPS Panfleto - A4","EAGryYFY2u8","Gráfico de mandala – 210 x 297 mm","Maple Bear | Comunicação",0,0,0
"Livreto A5","EAGryYF8Ns4",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryYD2YGg","Story","Maple Bear | Comunicação",0,0,0
"Feed - 1080 x 1080","EAGryYBoG5U",,"Maple Bear | Comunicação",0,0,0
"Posts Instagram 1080x1080","EAGryYBJ-RU",,"Maple Bear | Comunicação",0,0,0
"Stories - 1080 x 1920","EAGryYAskqI","Story","Maple Bear | Comunicação",0,0,0
"14 - Dia Internacional da Amizade - FEED","EAGryY9eCM0","1080 x 1350 px","Maple Bear | Comunicação",0,5,2
"Stories - 1080 x 1920","EAGryY9Ax_A",,"Maple Bear | Comunicação",0,0,0
"Pesquisa de satisfação familia .pdf","EAGryY8h-KU","Catálogo","Maple Bear | Comunicação",0,0,0
"Reforma Tributária (2).pdf","EAGryY8Cazk","Catálogo","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 01","EAGryY7DgIA","Story","Maple Bear | Comunicação",0,0,0
"Whatsapp - Plantão","EAGryY5k4mg","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Stories - Estáticas","EAGryY5L8bk","Story","Maple Bear | Comunicação",0,0,0
"Carrossel_02 - STORY","EAGryY0RUxY","Story","Maple Bear | Comunicação",0,0,0
"Moldura Feed","EAGryY-4DzU",,"Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryXzfkY0",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up","EAGryXyKLQo","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 03","EAGryXvmlCY","Story","Maple Bear | Comunicação",0,0,0
"Cópia de Experience Day","EAGryXu8fUo","Vídeo","Maple Bear | Comunicação",0,0,0
"Instagram - Stories Carrossel 04","EAGryXqL8dY","Story","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento","EAGryXm4o8E",,"Maple Bear | Comunicação",0,0,0
"TFR 2024 - Cartaz A3","EAGryXkeITA","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,3,0
"Crachá - 105 x 148mm","EAGryXjiF2s",,"Maple Bear | Comunicação",0,0,0
"Encontro 25 de Março - Story","EAGryXjRR-A","Story","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 02","EAGryXf0Uug","Story","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 01","EAGryXeiTUc","Story","Maple Bear | Comunicação",0,0,0
"Math - Patterns And Graph - A4","EAGryXe51Hs",,"Maple Bear | Comunicação",0,0,0
"Post Carrossel 05","EAGryXdi-SA","1080 x 1350 px","Maple Bear | Comunicação",0,9,2
"Crachás - A4","EAGryXdbWR4","Solicitação de pagamento","Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 2","EAGryXbpW4k",,"Maple Bear | Comunicação",0,0,0
"Posts Fotos - 1080 x 1350","EAGryXbSkW8","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryXYsqLE","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 02","EAGryXYUMI4","Story","Maple Bear | Comunicação",0,0,0
"05 - Dia Mundial da Língua Portuguesa","EAGryXYT1Oo","Post para Instagram (4:5)","Maple Bear | Comunicação",0,2,0
"Trend- Encontrando a Maple Bear de 2006","EAGryXXz_2o","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryXVsn3U",,"Maple Bear | Comunicação",0,0,0
"Estáticas - Stories","EAGryXVgzvU",,"Maple Bear | Comunicação",0,0,0
"SLM - Pack de Comunicação","EAGryXQyjtA","Post para Instagram","Maple Bear | Comunicação",0,0,0
"11 - NOVEMBRO","EAGryXPoGo4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"MB_Catalogo_AcoesFormativas_pdf","EAGryXPI7Yo",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryXKrnXI",,"Maple Bear | Comunicação",0,0,0
"Carrossel - Stories","EAGryXHbAoE",,"Maple Bear | Comunicação",0,0,0
"organograma.pptx","EAGryXFqxHY","Apresentação","Maple Bear | Comunicação",0,0,0
"Performance - Estáticas","EAGryXFl-q0",,"Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - High School","EAGryXFa0Xc",,"Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryXEIxCk",,"Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_05_Los_Angeles","EAGryX9uuT0","Story","Maple Bear | Comunicação",0,0,0
"Instagram - Post 01","EAGryX6AaB4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Matrícula e Rematrícula - Story","EAGryX5C1A4","Story","Maple Bear | Comunicação",0,0,0
"BYLAWS PAC 2025.pdf","EAGryX3bwKE","Doc","Maple Bear | Comunicação",0,0,0
"11 - NOVEMBRO","EAGryX2D_ZI",,"Maple Bear | Comunicação",0,0,0
"NPS Familias 2024.2_Relatório Geral.pptx","EAGryX1YFHE","Apresentação","Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 02","EAGryWzKZjM",,"Maple Bear | Comunicação",0,0,0
"Já se inscreveu na Terry Fox Run?","EAGryWyliTo",,"Maple Bear | Comunicação",0,0,0
"Reforma Tributária - jan.24.docx","EAGryWyY9bQ","Doc","Maple Bear | Comunicação",0,0,0
"Comunicação Corte Logístico - 2025","EAGryWx_arA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"SLM+ 2X - Contagem Regressiva - 1080 x 1080px","EAGryWxUUPc","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryWrpqZ8","Story","Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryWqnISw",,"Maple Bear | Comunicação",0,3,0
"Modelo excluído","EAGryWp2EII",,,,,
"Elementos Soltos - PNG","EAGryWnqb88",,"Maple Bear | Comunicação",0,0,0
"Exp Day - Story ","EAGryWnNnC0","Story","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryWlornM",,,,,
"Math - Patterns And Graph - A4","EAGryWl5cco",,"Maple Bear | Comunicação",0,0,0
"Science - Sea Animals And The Ocean - A3","EAGryWk02yc","Cartaz (A3 retrato)","Maple Bear | Comunicação",0,0,0
"Moldura Feed - 1080 x 1350","EAGryWj1W5o","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryWh0UcA",,,,,
"Moldura Stories","EAGryWgXvg0","Story","Maple Bear | Comunicação",0,0,0
"05 - Dia Mundial Do Meio Ambiente","EAGryWdljfY","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryWcYavk",,,,,
"Instagram - Post 04","EAGryWahzbQ","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Folha de Atividade ECE - A4","EAGryWZiYZQ","A4 (horizontal)","Maple Bear | Comunicação",0,0,0
"Termo de LGPD.pdf","EAGryWZ7vik","Folha com moldura (A4)","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryWY4jyA",,"Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 2","EAGryWXsUGs","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"Recebimentos Antecipados.pdf","EAGryWX6zZo","Catálogo","Maple Bear | Comunicação",0,0,0
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryWWHJGM","Apresentação","Maple Bear | Comunicação",0,6,0
"Magazine Ad - 419mm x 285mm - 2024","EAGryWVYTrE",,"Maple Bear | Comunicação",0,0,0
"ALI - Save The Date","EAGryWThrH0","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"CJ Students - Feed","EAGryWO983I","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Onboarding Marketing Maple Bear ","EAGryWKydKA","Apresentação","Maple Bear | Comunicação",0,0,0
"Performance - Junho","EAGryWJqVwM","Story","Maple Bear | Comunicação",0,0,0
"Performance - Estáticas","EAGryWGmylI","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"Cópia de MAPLE BEAR SUMMER CAMP 2024 (1).pptx","EAGryWG-Aok","Apresentação","Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO FEED","EAGryWFbi1E","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryW8zaYg",,,,,
"Pin 5x5cm","EAGryW8rKbU",,"Maple Bear | Comunicação",0,0,0
"Agenda Escolar 2024","EAGryW8H86g",,"Maple Bear | Comunicação",0,0,0
"Unique Aspects of the New Brunswick Program","EAGryW7yhBk",,"Maple Bear | Comunicação",0,0,0
"Depoimento -  Marina","EAGryW6nkP4","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"7- JULHO","EAGryW4OR5w","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"TFR 2024 - Save The Date","EAGryW4F1ds",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - Carrossel Atividades","EAGryW3JaFA",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Moldura Feed","EAGryVvkX1U","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Emojis - A4","EAGryVv_18c","Cartão de simanim para Rosh Hashaná","Maple Bear | Comunicação",0,0,0
"MB Bauru - Encerramento da unidade  “Como se fosse gente”","EAGryVuXp1M","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryVuVJ_w",,"Maple Bear | Comunicação",0,0,0
"01 - JANEIRO","EAGryVtdqs8",,"Maple Bear | Comunicação",0,13,0
"Performance - Junho","EAGryVslNAA","Story","Maple Bear | Comunicação",0,0,0
"Livreto ELE - Com Livro Recomendado - A5","EAGryVqlYQ4","A5","Maple Bear | Comunicação",0,0,0
"Apresentação André Quintela - Encontro Novembro.pptx","EAGryVpU3Rs","Apresentação","Maple Bear | Comunicação",0,0,0
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryVomz28","Apresentação","Maple Bear | Comunicação",0,18,0
"TFR 2024 - Camiseta 01 - Frente","EAGryVny8GE","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"A4_Arraial_Maple_Bear","EAGryVm3J8E","A4","Maple Bear | Comunicação",0,0,0
"Banner Maior - 120 x 180cm","EAGryVloBRU",,"Maple Bear | Comunicação",0,1,0
"Posts - 1080 x 1350","EAGryVjqVvc","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Feed - KV","EAGryVjDBog",,"Maple Bear | Comunicação",0,0,0
"STORY_MB_Formatura_SK","EAGryVhnrk0","Story","Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 2","EAGryVhiFuo","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Livreto Brinde - 10 x 10cm","EAGryVgw7iA",,"Maple Bear | Comunicação",0,0,0
"Ligue os Pontos - 1080x1350px","EAGryVejg2k","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"02 - Dia Mundial de ","EAGryVeHsnc","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryVd_7v8","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080px","EAGryVdWPGE",,"Maple Bear | Comunicação",0,0,0
"CAPA - Depoimento da Julia ","EAGryVbJD3Q","Story","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080px","EAGryV_V08Y",,"Maple Bear | Comunicação",0,0,0
"TFR 2024 - Feed Instagram e Whatsapp","EAGryVXQxEE",,"Maple Bear | Comunicação",0,0,0
"Cards - Scavenger Hunt - A6","EAGryVWCwvg",,"Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryVV0Ch8",,"Maple Bear | Comunicação",0,0,0
"Instagram - Post Carrossel 03","EAGryVTHuLs","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryVSsP3Q",,,,,
"Guia Portaria MB.pdf","EAGryVSdoRk","Livreto (pequeno)","Maple Bear | Comunicação",0,0,0
"Peças_Estáticas - FEED","EAGryVSWRZ4",,"Maple Bear | Comunicação",0,0,0
"Cartas de Desafio - A3 - Frente e Verso","EAGryVRUyaU","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"12 - DEZEMBRO","EAGryVMyyVM",,"Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - Fundamental","EAGryVMFbkI",,"Maple Bear | Comunicação",0,3,0
"21 - Dia mundial da criatividade!","EAGryVM5ViY","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"A importância de uma pesquisa de satisfação de início de ano letivo.docx","EAGryVIfOo4","Doc","Maple Bear | Comunicação",0,0,0
"Encontro 25 de Março - Story","EAGryVC9lLE","Story","Maple Bear | Comunicação",0,0,0
"Post Social","EAGryV4KEE8","1080 x 1350 px","Paula Kopczynski",0,3,0
"Modelo excluído","EAGryV44feo",,,,,
"Concurso Boas Práticas em Documentação Digital - Layout PPT ","EAGryV0NBRA","Apresentação","Maple Bear | Comunicação",0,0,0
"Abertura e Fechamento da Escola.docx","EAGryUzT0SE","Doc","Maple Bear | Comunicação",0,0,0
"09 - SETEMBRO","EAGryUzBq5A","1080 x 1350 px","Maple Bear | Comunicação",0,13,0
"Performance - Julho","EAGryUxG2WY","Story","Maple Bear | Comunicação",0,0,0
"Maple Bear Valinhos - Inspiração para todo jeito de aprender.pdf","EAGryUv_g10",,"Maple Bear | Comunicação",0,0,0
"Cópia de Instagram Post - 1080 x 1080px","EAGryUtVtY4",,"Maple Bear | Comunicação",0,0,0
"Pasta L ","EAGryUq97no",,"Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryUpuaGI",,"Maple Bear | Comunicação",0,1,0
"Instruções de Montagem do Livreto","EAGryUp7yK4",,"Maple Bear | Comunicação",0,0,0
"Summer Camp 25 - Feed e Whatsapp","EAGryUmrEsc","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"GEC 2025 - Modelo PPT","EAGryUliUB4","Apresentação","Maple Bear | Comunicação",0,0,0
"Bate-Papo MB - Thumbs YT","EAGryUl4p1Y",,"Maple Bear | Comunicação",0,0,0
"Arraial","EAGryUkXcac",,"Maple Bear | Comunicação",0,19,2
"Régua de Aquecimento - 1080 x 1080px","EAGryUhCbyo",,"Maple Bear | Comunicação",0,0,0
"Step Up - Fundo de Reunião","EAGryUgSj9Q","Apresentação","Maple Bear | Comunicação",0,0,0
"Instagram - Stories 02","EAGryU__ROI","Story","Maple Bear | Comunicação",0,0,0
"FEED_MB_Dica_de_Livros","EAGryUYOpjI","1080 x 1350 px","Maple Bear | Comunicação",0,13,0
"Cards ELE - A5","EAGryUXpmtI",,"Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 01 - 1080x1350","EAGryUWjeCc","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"TFR - Mochila - 35 x 40 cm","EAGryUWM8J4",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGryUTzgGE","Post para Instagram","Maple Bear | Comunicação",0,0,0
"SLM+ 4X - Contagem Regressiva - 1080 x 1080px","EAGryUTxDyk","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - Fundamental","EAGryUTQJCU",,"Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Cards de Instrução - A5","EAGryUTKcYg",,"Maple Bear | Comunicação",0,0,0
"Condição Especial - Feed - 1080 x 1920px 1080 x 1350 px","EAGryUSz4II",,"Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 01","EAGryUSkYzU","Story","Maple Bear | Comunicação",0,0,0
"FEED 1080_Carrossel_05_Los_Angeles","EAGryUOqZ_4",,"Maple Bear | Comunicação",0,0,0
"Cartão de Visitas - Preschool - Sangria 3mm","EAGryUOVpRM",,"Maple Bear | Comunicação",0,0,0
"Manual Portaria Maple Bear.pdf","EAGryUM7LW0","Livreto (pequeno)","Maple Bear | Comunicação",0,1,1
"14- Dia internacional da matemática","EAGryUJCDTM","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Maple_Bear_Cantareira_STORY_Arraial","EAGryUHJpx4","Story","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryUFJOyY",,,,,
"Régua de Follow Up - 1080 x 1080","EAGryUEs4kM","Post para Instagram","Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_04_New_Brunswick","EAGryUEW0Ag","Story","Maple Bear | Comunicação",0,0,0
"Outdoors - 10x3m","EAGryUD7JkI",,"Maple Bear | Comunicação",0,0,0
"Cards - Scavenger Hunt - A6","EAGryUAmbfQ",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryU9Uw3s","Story","Maple Bear | Comunicação",0,0,0
"Pack Comunicação - 2025","EAGryU8S20U","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1350 px","EAGryU6IEOc",,"Maple Bear | Comunicação",0,0,1
"Instagram Post - 1080 x 1350px","EAGryU4gOBo",,"Maple Bear | Comunicação",0,0,0
"Journal Ad - 30,7cm x 53cm","EAGryU4Ase4",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080 x 1920 px","EAGryU3MfOA",,"Maple Bear | Comunicação",0,0,0
"Moldura Post - 1080 x 1350 px","EAGryU2zZoM",,"Maple Bear | Comunicação",0,0,0
"TFR 2024 - Camiseta 01 - Costas","EAGryU0nx8o","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"Papel Timbrado A4","EAGryTzalcc","Documento (A4)","Maple Bear | Comunicação",0,3,1
"Post Carrossel 05","EAGryTzJm0M","Apresentação responsiva","Maple Bear | Comunicação",0,0,0
"ALI - Layout PPT","EAGryTxt1OQ","Apresentação","Maple Bear | Comunicação",0,0,0
"After school.pdf","EAGryTxsCmg","Catálogo","Maple Bear | Comunicação",0,0,0
"BYLAWS MAC 2025.pdf","EAGryTwlnns","A4","Maple Bear | Comunicação",0,0,0
"Como se inscrever","EAGryTvzcpA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Observações/Alergias","EAGryTta6MU",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories - 1080 x 1920 px","EAGryTtYUKc",,"Maple Bear | Comunicação",0,0,0
"Magazine Ad - 419mm x 285mm","EAGryTtKHAo",,"Maple Bear | Comunicação",0,0,0
"Festa Junina 2024","EAGryTrzRng",,"Maple Bear | Comunicação",0,9,0
"Halloween Solidário - Stories - Labirinto","EAGryTrz7BY",,"Maple Bear | Comunicação",0,0,0
"Banner Maior - 120 x 180cm","EAGryTqlxXA",,"Maple Bear | Comunicação",0,0,0
"Stories - Estáticas","EAGryToywhQ","Story","Maple Bear | Comunicação",0,0,0
"Bate-Papo MB - Feed Carrossel - 1080 x 1350","EAGryToh8FM","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Post Carrossel 05","EAGryToIm1k","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Dia das mães.pdf","EAGryTe8g98","Catálogo","Maple Bear | Comunicação",0,0,0
"1- JANEIRO","EAGryTc4mas","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Halloween Solidário - Quebra-Cabeças - 20x27cm - Sangria 5mm","EAGryTaACAs",,"Maple Bear | Comunicação",0,0,0
"Magazine Ad - 419mm x 285mm - 2024","EAGryTZCths",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryTYxrDM",,"Maple Bear | Comunicação",0,0,0
"01. Janeiro - Stories","EAGryTXd3LE","Story","Maple Bear | Comunicação",0,0,0
"01. Janeiro - Feed","EAGryTVAHFU","Post para Instagram","Maple Bear | Comunicação",0,0,0
"8- AGOSTO","EAGryTUBEiU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Maple_Bear_Cantareira_FEED_Arraial","EAGryTSr-E8","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"LEGENDAS DE MAIO","EAGryTSoq5E","Doc","Maple Bear | Comunicação",0,0,0
"Posts Fotos - 1080 x 1350","EAGryTSB4rA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryTRJVoE","Post para Instagram","Maple Bear | Comunicação",0,0,0
"10 - OUTUBRO","EAGryTOL7Qs","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_02_Toronto","EAGryTO4RoQ","Story","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1350 px","EAGryTNfsWA",,"Maple Bear | Comunicação",0,0,0
"Atividades ECE - A4","EAGryTM3nXE","A4 (horizontal)","Maple Bear | Comunicação",0,0,0
"Apólice de Treinamentos Acadêmicos - Maple Bear Brasil.pdf","EAGryTKbWOU","Ofício","Maple Bear | Comunicação",0,0,0
" TFR 2024 - Feed Instagram Carrossel","EAGryTJPnpU",,"Maple Bear | Comunicação",0,0,0
"DIA DAS MÃES","EAGryTHQ9t0","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Post - 1080 x 1350","EAGryTG3ai0","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"11 - Dia Internacional das Mulheres e Meninas na Ciência - FEED","EAGryTD0fwU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Pasta L 2024","EAGryTAM25s",,"Maple Bear | Comunicação",0,0,0
"Performance - Julho","EAGryT4xRh4","Story","Maple Bear | Comunicação",0,0,0
"Crachá - 105 x 148mm","EAGryT08wog",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1080","EAGrySxB4yY",,"Maple Bear | Comunicação",0,0,0
"Step Up - Layout PPT","EAGrySufj1Y","Apresentação","Maple Bear | Comunicação",0,1,0
"Cópia de LIW 2025 - Modelo PPT","EAGrySrptF8","Apresentação","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento - 1080 x 1080px","EAGrySqn1IU",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGrySoU3kc","Story","Maple Bear | Comunicação",0,2,0
"TFR 2024 - KV","EAGrySlkuRg","Apresentação","Maple Bear | Comunicação",0,5,0
"Webinar Modelo","EAGrySkq7BE","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Bate-Papo MB - Stories Estáticos - 1080 x1920","EAGrySjytXE","Story","Maple Bear | Comunicação",0,9,0
"Halloween Solidário - Livreto Histórias - 20x14cm - Frente e Verso","EAGrySgzTvs",,"Maple Bear | Comunicação",0,0,0
"Instagram Stories - 1080 x 1920 px","EAGrySdmCgg","Story","Maple Bear | Comunicação",0,0,0
"FEED 1080_Carrossel_04_New_Brunswick","EAGryScp62M",,"Maple Bear | Comunicação",0,0,0
"Recebimentos Antecipados - Tratamento Contábil e Impostos.docx","EAGrySaMpw0","Doc","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1920 px","EAGrySZupjQ","Story","Maple Bear | Comunicação",0,0,0
"FEED_MB_Páscoa","EAGrySWEywk","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 01","EAGrySU_wTY","Story","Maple Bear | Comunicação",0,0,0
"Magazine Ad - 214mm x 285mm 2024","EAGrySRZQ1o",,"Maple Bear | Comunicação",0,0,0
"Encontro 25 de Março - Story","EAGrySROVH8","Story","Maple Bear | Comunicação",0,0,0
"Flashcards ECE - A5","EAGrySQiUlQ","A5 (paisagem)","Maple Bear | Comunicação",0,2,0
"Instagram - Stories 05","EAGrySP_320","Story","Maple Bear | Comunicação",0,0,0
"Origami Chinook 2 - 1080x1350px","EAGrySMoziY","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Post - 1080 x 1350 px","EAGrySKbI9w",,"Maple Bear | Comunicação",0,0,0
